City,Cloudiness (%),Country,Date,Humidity (%),Lat,Lng,Max Temp (F),Wind Speed (mph)
goure,0,NE,1547325669,31,13.98,10.27,70.99,11.52
inta,80,RU,1547325669,76,66.04,60.13,16.04,5.48
ushuaia,75,AR,1547323200,81,-54.81,-68.31,42.8,40.26
ponta do sol,24,BR,1547325054,67,-20.63,-46.0,80.44,3.13
belmonte,0,PT,1547325670,84,40.36,-7.35,34.76,7.16
leningradskiy,8,RU,1547325671,100,69.38,178.42,-19.2,8.5
albany,20,US,1547324220,31,42.65,-73.75,24.98,11.41
bassano,0,CA,1547325672,84,50.79,-112.47,27.88,2.91
srivardhan,0,IN,1547325672,92,18.03,73.02,60.46,3.13
tamano,8,JP,1547325673,100,34.49,133.94,30.44,1.45
letnyaya stavka,88,RU,1547325673,95,45.43,43.44,30.58,6.93
aklavik,20,CA,1547323200,67,68.22,-135.01,-22.01,8.05
hobart,20,AU,1547323200,76,-42.88,147.33,51.8,6.93
cherskiy,56,RU,1547325674,51,68.75,161.3,-17.26,1.57
barrow,36,AR,1547325248,95,-38.31,-60.23,73.28,6.6
cape town,40,ZA,1547323200,68,-33.93,18.42,66.2,6.93
vestmannaeyjar,92,IS,1547325526,100,63.44,-20.27,40.34,17.0
road town,40,VG,1547323200,74,18.42,-64.62,80.96,4.7
cidreira,92,BR,1547325465,89,-30.17,-50.22,75.53,15.55
isangel,68,VU,1547325675,100,-19.55,169.27,77.92,4.7
geraldton,5,CA,1547323200,38,49.72,-86.95,6.8,3.24
new norfolk,20,AU,1547323200,76,-42.78,147.06,51.8,6.93
castro,0,CL,1547323200,67,-42.48,-73.76,59.0,8.05
severo-kurilsk,88,RU,1547325583,100,50.68,156.12,32.15,15.55
kaitangata,92,NZ,1547325594,81,-46.28,169.85,57.31,5.93
okhotsk,0,RU,1547325677,100,59.36,143.24,-8.49,8.95
peleduy,44,RU,1547325678,49,59.63,112.75,-9.39,2.57
antalaha,24,MG,1547325678,94,-14.9,50.28,77.06,1.9
ulladulla,68,AU,1547325679,94,-35.36,150.48,70.76,13.09
faanui,88,PF,1547325398,100,-16.48,-151.75,81.61,22.59
torbat-e jam,8,IR,1547325679,78,35.24,60.63,21.98,2.57
aswan,12,EG,1547325679,92,24.09,32.9,50.74,2.57
fonte boa,12,BR,1547325680,77,-2.51,-66.09,84.26,4.14
hermanus,0,ZA,1547325578,65,-34.42,19.24,60.01,9.4
georgetown,75,GY,1547323200,69,6.8,-58.16,82.4,16.11
clyde river,20,CA,1547323200,66,70.47,-68.59,-31.01,6.93
hithadhoo,8,MV,1547325590,100,-0.6,73.08,81.34,4.36
beringovskiy,32,RU,1547325681,95,63.05,179.32,-4.84,23.6
busselton,0,AU,1547325232,100,-33.64,115.35,63.43,18.79
puerto escondido,0,MX,1547325681,100,15.86,-97.07,80.48,6.38
homer,90,US,1547323320,84,59.64,-151.54,21.92,17.45
dikson,76,RU,1547325528,100,73.51,80.55,-17.35,32.44
cooma,0,AU,1547323200,66,-36.24,149.13,55.4,3.36
roald,75,NO,1547324400,86,62.58,6.12,39.2,12.75
vaini,0,IN,1547325224,86,15.34,74.49,59.47,3.02
namibe,0,AO,1547325683,100,-15.19,12.15,74.23,8.84
mahibadhoo,24,MV,1547325395,100,3.78,72.97,81.56,10.18
saint-philippe,1,CA,1547323200,60,45.36,-73.48,11.66,13.87
nikolskoye,75,RU,1547323200,85,59.7,30.79,23.0,13.42
